status,host_id,registry_ip,observed_ip,registry_macs,observed_mac,vendor,hostnames,mdns_names,notes
matched,router,10.1.1.1,10.1.1.1,50:91:e3:38:03:e9,50:91:e3:38:03:e9,"(Unknown), Unknown",,,
matched,vdsl-modem,10.1.1.2,10.1.1.2,10:13:31:57:fa:00,10:13:31:57:fa:00,Technicolor Delivery Technologies Belgium NV,,,
matched,shorepi,10.1.1.20,10.1.1.20,d8:3a:dd:2a:25:3f,d8:3a:dd:2a:25:3f,"Raspberry Pi Trading Ltd, Unknown",,,
matched,printserver,10.1.1.30,10.1.1.30,88:a2:9e:19:07:69,88:a2:9e:19:07:69,"(Unknown), (Unknown) (DUP: 2), Unknown",,,
matched,abbhub,10.1.1.6,10.1.1.6,00:04:a3:f3:2d:fe,00:04:a3:f3:2d:fe,"Microchip Technology, Microchip Technology Inc.",,,
matched,nvr,10.1.1.178,10.1.1.178,24:52:6a:25:bd:f4,24:52:6a:25:bd:f4,"Zhejiang Dahua Technology, Zhejiang Dahua Technology Co., Ltd.",,,
matched,cam-01,10.1.1.41,10.1.1.41,24:52:6a:34:6a:36,24:52:6a:34:6a:36,"Zhejiang Dahua Technology, Zhejiang Dahua Technology Co., Ltd.",,,
matched,cam-02,10.1.1.42,10.1.1.42,24:52:6a:34:69:f5,24:52:6a:34:69:f5,"Zhejiang Dahua Technology, Zhejiang Dahua Technology Co., Ltd.",,,
matched,cam-03,10.1.1.43,10.1.1.43,24:52:6a:34:69:c9,24:52:6a:34:69:c9,"Zhejiang Dahua Technology, Zhejiang Dahua Technology Co., Ltd.",,,
matched,cam-04,10.1.1.44,10.1.1.44,24:52:6a:34:6d:13,24:52:6a:34:6d:13,"Zhejiang Dahua Technology, Zhejiang Dahua Technology Co., Ltd.",,,
matched,cam-05,10.1.1.45,10.1.1.45,24:52:6a:34:69:73,24:52:6a:34:69:73,"Zhejiang Dahua Technology, Zhejiang Dahua Technology Co., Ltd.",,,
matched,cam-06,10.1.1.46,10.1.1.46,fc:b6:9d:9e:d1:e5,fc:b6:9d:9e:d1:e5,"Zhejiang Dahua Technology, Zhejiang Dahua Technology Co., Ltd.",,,
matched,cam-07,10.1.1.47,10.1.1.47,24:52:6a:34:6d:18,24:52:6a:34:6d:18,"Zhejiang Dahua Technology, Zhejiang Dahua Technology Co., Ltd.",,,
matched,ap-01,10.1.1.123,10.1.1.123,74:ac:b9:69:80:42,74:ac:b9:69:80:42,"Ubiquiti Networks, Ubiquiti Networks Inc.",,,
matched,ap-02,10.1.1.117,10.1.1.117,74:ac:b9:69:7e:6e,74:ac:b9:69:7e:6e,"Ubiquiti Networks, Ubiquiti Networks Inc.",,,
