# generator warnings
# Generated from: docs/reference/network-registry.yaml
# Site filter: reid
# This file is generated. Edit network-registry.yaml instead.

Host abbhub: skipped because dns.canonical is missing
Host ap-01: skipped because dns.canonical is missing
Host ap-02: skipped because dns.canonical is missing
Host ap-03: skipped because dns.canonical is missing
Host appletv-lounge: skipped because dns.canonical is missing
Host battery-temp: skipped because dns.canonical is missing
Host cam-01: skipped because dns.canonical is missing
Host cam-02: skipped because dns.canonical is missing
Host cam-03: skipped because dns.canonical is missing
Host cam-04: skipped because dns.canonical is missing
Host cam-05: skipped because dns.canonical is missing
Host cam-06: skipped because dns.canonical is missing
Host cam-07: skipped because dns.canonical is missing
Host chain-counter: skipped because dns.canonical is missing
Host dfrobot-edge101: skipped because dns.canonical is missing
Host energy-monitor: skipped because dns.canonical is missing
Host hydrawise-main: skipped because dns.canonical is missing
Host hydrawise-workshop: skipped because dns.canonical is missing
Host irobot-vacuum: skipped because dns.canonical is missing
Host kitchen-display: skipped because dns.canonical is missing
Host myplace-tablet: skipped because dns.canonical is missing
Host nvr: skipped because dns.canonical is missing
Host printserver: skipped because dns.canonical is missing
Host signal-generator: skipped because dns.canonical is missing
Host solar-monitor: skipped because dns.canonical is missing
Host sonos-mudroom: skipped because dns.canonical is missing
Host sonos-spare: skipped because dns.canonical is missing
Host sonos-workshop: skipped because dns.canonical is missing
Host soundbar-lounge: skipped because dns.canonical is missing
Host speaker-switch: skipped because dns.canonical is missing
Host tv-french-room: skipped because dns.canonical is missing
Host ubiquiti-unknown: skipped because dns.canonical is missing
Host wearable-01: skipped because dns.canonical is missing
Host weather-station: skipped because dns.canonical is missing
Host zappi: skipped because dns.canonical is missing
