# generated lease summary
# Registry: docs/reference/network-registry.yaml
# Site filter: reid
# Include unscoped hosts: no

10.1.1.1         50:91:e3:38:03:e9  router                (router, primary, lan, network)
10.1.1.2         10:13:31:57:fa:00  vdsl-modem            (vdsl-modem, primary, lan, network)
10.1.1.3         88:a2:9e:6e:8c:d4  mudpi                 (mudpi, ethernet, lan, infrastructure)
10.1.1.6         00:04:a3:f3:2d:fe  abbhub                (abbhub, primary, lan, energy)
10.1.1.20        d8:3a:dd:2a:25:3f  shorepi               (shorepi, ethernet, lan, infrastructure)
10.1.1.30        88:a2:9e:19:07:69  printserver           (printserver, primary, lan, server)
10.1.1.41        24:52:6a:34:6a:36  cam-01                (cam-01, primary, lan, camera)
10.1.1.42        24:52:6a:34:69:f5  cam-02                (cam-02, primary, lan, camera)
10.1.1.43        24:52:6a:34:69:c9  cam-03                (cam-03, primary, lan, camera)
10.1.1.44        24:52:6a:34:6d:13  cam-04                (cam-04, primary, lan, camera)
10.1.1.45        24:52:6a:34:69:73  cam-05                (cam-05, primary, lan, camera)
10.1.1.46        fc:b6:9d:9e:d1:e5  cam-06                (cam-06, primary, lan, camera)
10.1.1.47        24:52:6a:34:6d:18  cam-07                (cam-07, primary, lan, camera)
10.1.1.50        c0:49:ef:64:e9:a8  zappi                 (zappi, primary, lan, energy)
10.1.1.60        00:41:0e:fe:b0:84  printer               (printer, primary, lan, appliance)
10.1.1.100       54:2a:1b:e6:68:8e  sonos-spare           (sonos-spare, primary, lan, media)
10.1.1.104       30:ed:a0:d7:e3:fc  energy-monitor        (energy-monitor, primary, lan, iot)
10.1.1.105       f0:d7:93:32:00:69  irene-iphone          (irene-iphone, wifi, wifi, personal)
10.1.1.106       a8:16:9d:3d:b3:0d  soundbar-lounge       (soundbar-lounge, primary, lan, media)
10.1.1.107       50:14:79:fa:2c:a4  irobot-vacuum         (irobot-vacuum, primary, lan, iot)
10.1.1.109       b6:29:43:61:d4:b6  myplace-tablet        (myplace-tablet, primary, lan, iot)
10.1.1.110       b2:d1:bb:c4:23:e2  irene-macbook         (irene-macbook, wifi, lan, personal)
10.1.1.111       ec:64:c9:96:07:b4  weather-station       (weather-station, primary, lan, iot)
10.1.1.112       7c:91:22:41:87:d4  kitchen-display       (kitchen-display, primary, lan, iot)
10.1.1.113       f4:92:bf:c3:40:24  ubiquiti-unknown      (ubiquiti-unknown, primary, lan, network)
10.1.1.114       48:a6:b8:28:be:de  sonos-workshop        (sonos-workshop, primary, lan, media)
10.1.1.115       54:2a:1b:e6:63:03  sonos-mudroom         (sonos-mudroom, primary, lan, media)
10.1.1.116       8c:26:aa:c4:ff:2c  appletv-lounge        (appletv-lounge, primary, lan, media)
10.1.1.117       74:ac:b9:69:7e:6e  ap-02                 (ap-02, primary, lan, network)
10.1.1.118       74:ac:b9:69:7c:62  ap-03                 (ap-03, primary, lan, network)
10.1.1.119       1c:db:d4:7a:33:08  solar-monitor         (solar-monitor, primary, lan, iot)
10.1.1.120       24:0a:c4:f6:a0:7c  chain-counter         (chain-counter, primary, lan, iot)
10.1.1.121       24:0a:c4:f6:a7:3c  esp32-spare-1-monitor  (esp32-spare-1-monitor, primary, lan, iot)
10.1.1.122       10:97:bd:d3:f6:38  battery-temp          (battery-temp, primary, lan, iot)
10.1.1.123       74:ac:b9:69:80:42  ap-01                 (ap-01, primary, lan, network)
10.1.1.124       f8:f0:05:a7:63:f6  hydrawise-workshop    (hydrawise-workshop, primary, lan, iot)
10.1.1.125       8c:86:1e:c4:4e:7f  steven-iphone         (steven-iphone, wifi, wifi, personal)
10.1.1.128       e0:e2:e6:c0:b3:fc  signal-generator      (signal-generator, primary, lan, iot)
10.1.1.130       74:d5:c6:46:36:12  hydrawise-main        (hydrawise-main, primary, lan, iot)
10.1.1.131       84:c0:ef:63:46:08  tv-french-room        (tv-french-room, primary, lan, media)
10.1.1.133       80:f3:da:6b:3c:74  dfrobot-edge101       (dfrobot-edge101, primary, lan, iot)
10.1.1.134       80:3f:5d:f4:44:b6  stevenlaptop          (stevenlaptop, ethernet, lan, workstation)
10.1.1.135       24:6f:28:b9:af:2c  wearable-01           (wearable-01, primary, lan, iot)
10.1.1.177       de:ad:be:ef:fe:ed  speaker-switch        (speaker-switch, primary, lan, iot)
10.1.1.178       24:52:6a:25:bd:f4  nvr                   (nvr, primary, lan, security)
